provincia;prov_cod;centralina;centr_cod_input;centr_cod;date_start;time_start
RN;9;Flaminia;53;10000001;01.01.2018;0.00.00
RN;9;Marecchia;52;10000002;01.01.2018;0.00.00
RN;9;San Clemente;51;10000060;01.01.2018;0.00.00
RN;9;San Leo;50;10000074;01.01.2018;0.00.00
RN;9;Verucchio;49;10000059;01.01.2018;0.00.00
RE;8;Castellarano;48;3000001;01.01.2018;0.00.00
RE;8;Febbio;47;3000018;01.01.2018;0.00.00
RE;8;S. Lazzaro;46;3000007;01.01.2018;0.00.00
RE;8;S. Rocco;45;3000022;01.01.2018;0.00.00
RE;8;Timavo;44;3000025;01.01.2018;0.00.00
RA;7;Caorle;43;9000021;01.01.2018;0.00.00
RA;7;Delta Cervia;42;9000070;01.01.2018;0.00.00
RA;7;Parco Bertozzi;41;9000083;01.01.2018;0.00.00
RA;7;zalamella;40;9000014;01.01.2018;0.00.00
PR;5;badia;39;20000214;01.01.2018;0.00.00
PR;5;bogolese;38;20000230;01.01.2018;0.00.00
PR;5;Cittadella;37;2000003;01.01.2018;0.00.00
PR;5;malcantone;36;20000229;01.01.2018;0.00.00
PR;5;Montebello;35;2000004;01.01.2018;0.00.00
PR;5;paradigna;34;20000232;01.01.2018;0.00.00
PR;5;saragat;33;20000219;01.01.2018;0.00.00
PC;6;Besenzone;32;5000062;01.01.2018;0.00.00
PC;6;Ceno;31;5000020;01.01.2018;0.00.00
PC;6;Corte Brugnatella;30;5000066;01.01.2018;0.00.00
PC;6;Gerbido;29;5000024;01.01.2018;0.00.00
PC;6;Giordani - Farnese;28;5000033;01.01.2018;0.00.00
PC;6;Lugagnano;27;5000007;01.01.2018;0.00.00
PC;6;Monte Tecno;26;5000025;01.01.2018;0.00.00
PC;6;Montecucco;25;5000065;01.01.2018;0.00.00
MO;4;albareto;24;4000023;01.01.2018;0.00.00
MO;4;gavello;23;40000152;01.01.2018;0.00.00
MO;4;giardini;22;4000002;01.01.2018;0.00.00
MO;4;parco edilcarani;21;40000155;01.01.2018;0.00.00
MO;4;parco ferrari;20;4000022;01.01.2018;0.00.00
MO;4;remesina;19;4000012;01.01.2018;0.00.00
MO;4;san francesco;18;40000110;01.01.2018;0.00.00
FE;3;cento;17;8000038;01.01.2018;0.00.00
FE;3;gherardi;16;8000007;01.01.2018;0.00.00
FE;3;isonzo;15;8000002;01.01.2018;0.00.00
FE;3;ostellato;14;8000041;01.01.2018;0.00.00
FE;3;villa fulvia;13;8000040;01.01.2018;0.00.00
FC;2;franchini-angeloni;12;6000014;01.01.2018;0.00.00
FC;2;parco resistenza;11;6000010;01.01.2018;0.00.00
FC;2;roma;10;6000011;01.01.2018;0.00.00
FC;2;savignano;9;6000031;01.01.2018;0.00.00
FC;2;savignano di rigo;8;6000036;01.01.2018;0.00.00
BO;1;castelluccio;7;7000042;01.01.2018;0.00.00
BO;1;de amicis;6;7000002;01.01.2018;0.00.00
BO;1;giardini margherita;5;7000014;01.01.2018;0.00.00
BO;1;porta s felice;4;7000015;01.01.2018;0.00.00
BO;1;s. lazzaro;3;7000024;01.01.2018;0.00.00
BO;1;s. pietro capofiume;2;7000027;01.01.2018;0.00.00
BO;1;via chiarini;1;7000041;01.01.2018;0.00.00
